Date,amount
2020-09-16T17:12:22.287Z,11025
2020-09-16T17:12:32.324Z,11025
2021-01-05T10:36:37.573Z,11025
2021-01-05T10:36:37.573Z,11025
2020-09-16T17:12:22.287Z,11002
2020-11-10T12:39:32.643Z,10969
2021-01-05T10:36:37.573Z,10969
2020-09-16T17:12:22.287Z,10920
2020-09-16T17:12:22.287Z,10857
2020-09-16T17:12:22.287Z,10856
2021-01-05T10:36:37.573Z,10821
2020-09-16T17:12:32.324Z,10819
2021-01-05T10:36:37.573Z,10732
2020-09-16T17:12:22.287Z,10500
2020-09-16T17:12:22.287Z,10500
2020-11-10T12:39:32.643Z,10500
2021-01-05T10:36:37.573Z,10478
2020-09-16T17:12:22.287Z,10459
2021-01-05T10:36:37.573Z,10400
2020-09-16T17:12:22.287Z,10395
2021-01-05T10:36:37.573Z,10395
2020-09-16T17:12:32.324Z,10370
2020-09-16T17:12:22.287Z,10367
2021-01-05T10:36:37.573Z,10348
2020-09-16T17:12:32.324Z,10340
2020-09-16T17:12:22.287Z,10339
2020-10-20T05:09:35.470Z,10339
2021-01-05T10:36:37.573Z,10304
2020-09-16T17:12:32.324Z,10297
2020-09-16T17:12:32.324Z,10296
2020-09-16T17:12:22.287Z,10269
2020-09-16T17:12:32.324Z,10252
2020-09-16T17:12:32.324Z,10218
2020-09-16T17:12:22.287Z,10138
2020-09-16T17:12:22.287Z,10135
2020-09-16T17:12:22.287Z,10093
2020-09-16T17:12:32.324Z,10064
2020-09-16T17:12:32.324Z,10053
2021-01-05T10:36:37.573Z,10000
2021-01-05T10:36:37.573Z,10000
2021-01-05T10:36:37.573Z,10000
2020-09-16T17:12:22.287Z,10000
2020-09-16T17:12:22.287Z,9978
2021-01-05T10:36:37.573Z,9975
2021-01-05T10:36:37.573Z,9966
2021-01-05T10:36:37.573Z,9953
2021-01-05T10:36:37.573Z,9876
2020-09-16T17:12:32.324Z,9876
2021-01-05T10:36:37.573Z,9845
2020-09-16T17:12:32.324Z,9806
2021-01-05T10:36:37.573Z,9806
2021-01-05T10:36:37.573Z,9806
2021-01-05T10:36:37.573Z,9780
2021-01-05T10:36:37.573Z,9780
2021-01-05T10:36:37.573Z,9778
2021-01-05T10:36:37.573Z,9769
2020-09-16T17:12:22.287Z,9764
2020-11-10T12:39:32.643Z,9763
2020-09-16T17:12:32.324Z,9738
2020-11-10T12:39:32.643Z,9676
2020-11-10T12:39:32.643Z,9664
2020-09-16T17:12:22.287Z,9566
2020-09-16T17:12:22.287Z,9524
2020-09-16T17:12:32.324Z,9524
2021-01-05T10:36:37.573Z,9524
2020-09-16T17:12:32.324Z,9508
2020-09-16T17:12:22.287Z,9508
2021-01-05T10:36:37.573Z,9508
2020-11-10T12:39:32.643Z,9503
2020-09-16T17:12:22.287Z,9500
2020-09-16T17:12:22.287Z,9500
2020-09-16T17:12:22.287Z,9491
2020-09-16T17:12:32.324Z,9491
2021-01-05T10:36:37.573Z,9480
2020-09-16T17:12:32.324Z,9480
2020-09-16T17:12:32.324Z,9479
2020-09-16T17:12:32.324Z,9450
2020-09-16T17:12:32.324Z,9450
